"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jul 2018', 'Quantity')","('Jul 2018', 'CIF (Baht)')","('Jan - Jul 2018', 'Quantity')","('Jan - Jul 2018', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,1106,233947
AT,AUSTRIA,247500,16095790,646250,40634174
BE,BELGIUM,22000,1372934,496400,30247963
BR,BRAZIL,0,0,11143,1876215
CA,CANADA,0,0,4000,595338
CN,CHINA,44500,3963812,325811,30009773
FR,FRANCE,158825,8797843,937650,51182569
DE,GERMANY,142840,9639420,421441,31912358
IN,INDIA,0,0,235,48459
ID,INDONESIA,17125,1758254,43237,4396024
IT,ITALY,11000,948766,17875,1564534
JP,JAPAN,724095,57205396,5475735,387737818
KR,"KOREA,REPUBLIC OF",1309533,65008561,5612844,274735325
MY,MALAYSIA,81000,3654330,250847,11206535
NL,NETHERLANDS,25250,1729205,407112,28248852
NO,NORWAY,0,0,5,1720
SA,SAUDI ARABIA,569250,25428748,2054260,88539198
SG,SINGAPORE,4167600,206852208,29980747,1377227109
ES,SPAIN,10450,875242,10478,878964
SE,SWEDEN,0,0,108,175410
TW,"TAIWAN, PROVINCE OF CHINA",111625,5614189,1489889,70011793
AE,UNITED ARAB EMIRATES,247500,11093903,2064318,88737431
US,UNITED STATES,36833,3940931,242949,24276304
SUM,SUM,7926926,423979532,50494440,2544477813
