"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jul 2018', 'Quantity')","('Jul 2018', 'CIF (Baht)')","('Jan - Jul 2018', 'Quantity')","('Jan - Jul 2018', 'CIF (Baht)')"
BE,BELGIUM,149750,6714203,645675,29035808
BR,BRAZIL,0,0,49500,1827954
CA,CANADA,25000,968933,25000,968933
CN,CHINA,44000,3164963,909181,37087306
FR,FRANCE,22000,1806486,108725,8709146
IN,INDIA,0,0,158750,6671116
ID,INDONESIA,30000,2431531,320775,26643663
IL,ISRAEL,0,0,16200,1079388
JP,JAPAN,57500,6155506,529771,48513251
KR,"KOREA,REPUBLIC OF",77350,3648962,466400,21226236
KW,KUWAIT,74250,2853345,767250,28893089
MY,MALAYSIA,0,0,750075,32842948
NL,NETHERLANDS,20000,932843,140000,6270497
QA,QATAR,204000,7772488,2295000,86650361
SA,SAUDI ARABIA,3081150,122235568,21186750,830847665
SG,SINGAPORE,496500,21646005,5081225,214242829
ES,SPAIN,74250,3046177,105307,4427350
TW,"TAIWAN, PROVINCE OF CHINA",0,0,10,12025
TH,THAILAND,0,0,65000,2969579
AE,UNITED ARAB EMIRATES,633250,26518234,4152975,168528105
US,UNITED STATES,110525,5830284,851715,42777336
VN,VIETNAM,0,0,5,946
SUM,SUM,5099525,215725528,38625289,1600225531
