"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2020', 'Quantity')","('Mar 2020', 'CIF (Baht)')","('Jan - Mar 2020', 'Quantity')","('Jan - Mar 2020', 'CIF (Baht)')"
AU,AUSTRALIA,3,860,2682,159897
AT,AUSTRIA,0,0,112500,5435986
BE,BELGIUM,355800,17838901,1666760,84952098
BR,BRAZIL,1500,500301,2862,698919
CN,CHINA,127950,6384567,300812,14463889
CZ,CZECH REPUBLIC,0,0,132,23775
EG,EGYPT,150,12481,150,12481
FR,FRANCE,49500,2270160,161065,7472139
DE,GERMANY,153760,9879807,269523,18310442
IN,INDIA,0,0,32,5240
ID,INDONESIA,28398,2556955,69940,6098721
JP,JAPAN,1146656,76257381,3429542,218412728
KR,"KOREA,REPUBLIC OF",952100,38508632,2365960,94651833
MY,MALAYSIA,353000,11761951,474451,17584648
NL,NETHERLANDS,60500,3693229,195931,11432228
SA,SAUDI ARABIA,173300,5444749,717800,22278586
SG,SINGAPORE,3861019,155230656,9892677,388698622
ES,SPAIN,2750,223207,11550,953010
SE,SWEDEN,0,0,91,169475
TW,"TAIWAN, PROVINCE OF CHINA",267830,9743399,640080,23176422
TH,THAILAND,0,0,900,59338
AE,UNITED ARAB EMIRATES,789252,24713606,2569827,79020563
GB,UNITED KINGDOM,0,0,14,8301
US,UNITED STATES,143670,4823796,198248,9650417
SUM,SUM,8467138,369844638,23083529,1003729758
