"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2012', 'Quantity')","('Mar 2012', 'CIF (Baht)')","('Jan - Mar 2012', 'Quantity')","('Jan - Mar 2012', 'CIF (Baht)')"
AU,AUSTRALIA,11000,781871,11000,781871
AT,AUSTRIA,46750,3212470,46750,3212470
BE,BELGIUM,0,0,12000,1329030
CN,CHINA,0,0,10500,1179597
FI,FINLAND,2000,222508,4000,448824
JP,JAPAN,140000,11317040,379000,31165696
KR,"KOREA,REPUBLIC OF",506000,32366062,979000,61019101
MY,MALAYSIA,75000,4645444,255000,16063921
PH,PHILIPPINES,500,82513,500,82513
SG,SINGAPORE,2900,241978,2900,241978
SE,SWEDEN,14000,1600827,110250,8547115
TW,"TAIWAN, PROVINCE OF CHINA",11000,934846,11000,934846
AE,UNITED ARAB EMIRATES,13000,618892,565850,26608983
US,UNITED STATES,191574,14600892,481832,36766708
VN,VIETNAM,87000,5259045,189000,11459049
SUM,SUM,1100724,75884388,3058582,199841702
