"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Aug 2020', 'Quantity')","('Aug 2020', 'CIF (Baht)')","('Jan - Aug 2020', 'Quantity')","('Jan - Aug 2020', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,1001,112761
BE,BELGIUM,4000,508381,139487,7149878
BR,BRAZIL,198000,9729172,6450424,331042449
CA,CANADA,43700,479074,45140,526087
CN,CHINA,477015,14608541,1496385,49335502
FI,FINLAND,148500,7588602,717750,37968874
FR,FRANCE,52710,6504952,92990,12623319
DE,GERMANY,250853,17696007,2814525,177473368
HK,HONG KONG,0,0,336,30521
HU,HUNGARY,0,0,13050,738665
IN,INDIA,5,464,2062,176321
ID,INDONESIA,3575,1426261,28075,11188893
IE,IRELAND,0,0,0,4067
IL,ISRAEL,15800,1254938,38000,3057892
IT,ITALY,6250,1281563,23684,7164507
JP,JAPAN,184543,12232650,1670766,126754185
KR,"KOREA,REPUBLIC OF",265000,9880079,1914397,82593571
KW,KUWAIT,519750,13507307,3168050,81720519
LU,LUXEMBOURG,38700,3841257,153950,16260784
MY,MALAYSIA,3658550,115537704,39446296,1183107227
MM,MYANMAR,0,0,1,66
NL,NETHERLANDS,182220,8526221,2496877,128575869
NZ,NEW ZEALAND,0,0,0,252
NO,NORWAY,16880,892186,389590,19599950
PT,PORTUGAL,0,0,100,59370
QA,QATAR,1785000,47829548,10939500,310514423
SA,SAUDI ARABIA,4257502,124584136,27219932,770020387
SG,SINGAPORE,1795000,57507849,16899950,541162709
CH,SWITZERLAND,0,0,800,191672
TW,"TAIWAN, PROVINCE OF CHINA",0,0,34772,2971329
TH,THAILAND,0,0,1220,33158
TR,TÜRKIYE,0,0,1375,86070
AE,UNITED ARAB EMIRATES,223250,6288999,2155056,58267213
GB,UNITED KINGDOM,6000,912051,87103,7431464
US,UNITED STATES,709507,24526173,6153830,194203568
VN,VIETNAM,100,19208,69680,5408415
SUM,SUM,14842410,487163323,124666154,4167555305
