"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2023', 'Quantity')","('Jan 2023', 'CIF (Baht)')","('Jan - Jan 2023', 'Quantity')","('Jan - Jan 2023', 'CIF (Baht)')"
AU,AUSTRALIA,25,6650,25,6650
AT,AUSTRIA,25310,3333850,25310,3333850
CN,CHINA,1119691,60775180,1119691,60775180
DE,GERMANY,36000,4742006,36000,4742006
IN,INDIA,474025,24106387,474025,24106387
ID,INDONESIA,1,452,1,452
JP,JAPAN,404176,37559522,404176,37559522
KR,"KOREA,REPUBLIC OF",1483025,65060219,1483025,65060219
LV,LATVIA,11308,587246,11308,587246
MY,MALAYSIA,55000,2127234,55000,2127234
MX,MEXICO,614,41130,614,41130
OM,OMAN,1584000,51940971,1584000,51940971
SA,SAUDI ARABIA,1847220,61579496,1847220,61579496
SG,SINGAPORE,262000,10622959,262000,10622959
ZA,SOUTH AFRICA,24750,866210,24750,866210
TW,"TAIWAN, PROVINCE OF CHINA",84795,3748219,84795,3748219
TH,THAILAND,125,4079,125,4079
AE,UNITED ARAB EMIRATES,2697775,88189390,2697775,88189390
US,UNITED STATES,1950,243595,1950,243595
VN,VIETNAM,819825,29031643,819825,29031643
SUM,SUM,10931615,444566438,10931615,444566438
