"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2021', 'Quantity')","('May 2021', 'CIF (Baht)')","('Jan - May 2021', 'Quantity')","('Jan - May 2021', 'CIF (Baht)')"
CA,CANADA,24750,1085509,24950,1110786
CN,CHINA,18090,552333,56690,2383261
HK,HONG KONG,1,383,25501,992954
JP,JAPAN,4100,334426,23924,2032105
KR,"KOREA,REPUBLIC OF",9600,869256,49200,4031233
NL,NETHERLANDS,22000,1353316,121000,6705395
QA,QATAR,0,0,25500,821737
SA,SAUDI ARABIA,125000,4883590,677250,23658538
SG,SINGAPORE,1201265,69840562,8120685,389684625
ES,SPAIN,60300,4607178,141100,9242771
AE,UNITED ARAB EMIRATES,495000,21475720,3377750,125427977
US,UNITED STATES,786853,40964766,5535153,223848454
VN,VIETNAM,0,0,75,2270
SUM,SUM,2746959,145967039,18178778,789942106
