"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2019', 'Quantity')","('May 2019', 'CIF (Baht)')","('Jan - May 2019', 'Quantity')","('Jan - May 2019', 'CIF (Baht)')"
BE,BELGIUM,0,0,48000,5147192
CN,CHINA,0,0,325,36365
DE,GERMANY,0,0,0,64
JP,JAPAN,11000,584266,41034,2645534
KR,"KOREA,REPUBLIC OF",0,0,73200,5513834
SA,SAUDI ARABIA,0,0,550,21560
SG,SINGAPORE,0,0,2917000,107748689
TW,"TAIWAN, PROVINCE OF CHINA",22000,1006789,22000,1006789
AE,UNITED ARAB EMIRATES,49400,1976136,345950,14196111
GB,UNITED KINGDOM,0,0,3475,442385
US,UNITED STATES,371487,23801646,699798,49245366
SUM,SUM,453887,27368837,4151332,186003889
