"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2012', 'Quantity')","('Mar 2012', 'CIF (Baht)')","('Jan - Mar 2012', 'Quantity')","('Jan - Mar 2012', 'CIF (Baht)')"
BE,BELGIUM,24000,2447596,36000,3742510
CN,CHINA,0,0,48000,3656427
DE,GERMANY,500,145287,500,145287
JP,JAPAN,5500,555968,5516,573380
KR,"KOREA,REPUBLIC OF",15000,1367502,31800,2953600
LU,LUXEMBOURG,0,0,2,1168
QA,QATAR,102000,4539179,204000,9136125
SG,SINGAPORE,102000,4042705,509600,19991451
SE,SWEDEN,4200,519187,5600,805225
TW,"TAIWAN, PROVINCE OF CHINA",100,37449,100,37449
AE,UNITED ARAB EMIRATES,52000,2499378,91000,4399492
US,UNITED STATES,34000,4963181,96662,12391753
SUM,SUM,339300,21117432,1028780,57833867
