"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2015', 'Quantity')","('Feb 2015', 'CIF (Baht)')","('Jan - Feb 2015', 'Quantity')","('Jan - Feb 2015', 'CIF (Baht)')"
AT,AUSTRIA,9625,652734,37125,2371821
BE,BELGIUM,0,0,49450,2711315
BR,BRAZIL,0,0,25,15585
CN,CHINA,5200,506959,49376,4789854
EG,EGYPT,0,0,100,6644
FI,FINLAND,50750,3122607,70000,4327786
DE,GERMANY,212273,12940110,305429,20135940
IN,INDIA,0,0,1,165
ID,INDONESIA,1875,613475,1875,613475
IT,ITALY,0,0,12830,456310
JP,JAPAN,584141,40030877,1024566,72403200
KR,"KOREA,REPUBLIC OF",248095,15459222,494197,31482273
KW,KUWAIT,396000,15692695,693000,29893226
MY,MALAYSIA,1776100,72972950,3706903,164059685
NL,NETHERLANDS,338150,18762395,595140,34345451
QA,QATAR,76500,2884197,459000,20656847
SA,SAUDI ARABIA,2471400,98386301,4339800,184583270
SG,SINGAPORE,2022582,90735838,4106332,198853107
ES,SPAIN,62000,6604525,164000,16173013
CH,SWITZERLAND,36250,7134808,36690,7292786
TW,"TAIWAN, PROVINCE OF CHINA",1050,183880,23075,1297213
AE,UNITED ARAB EMIRATES,148542,5462073,371292,13862212
GB,UNITED KINGDOM,0,0,3,10860
US,UNITED STATES,64214,4838164,266472,19657531
VN,VIETNAM,4650,665945,20175,2043055
SUM,SUM,8509397,397649755,16826856,832042624
