"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2019', 'Quantity')","('Mar 2019', 'CIF (Baht)')","('Jan - Mar 2019', 'Quantity')","('Jan - Mar 2019', 'CIF (Baht)')"
BE,BELGIUM,0,0,12000,1297348
CN,CHINA,0,0,50,16221
DE,GERMANY,0,0,0,64
JP,JAPAN,0,0,22034,1544777
KR,"KOREA,REPUBLIC OF",13400,752468,13400,752468
SA,SAUDI ARABIA,550,21560,550,21560
SG,SINGAPORE,720000,26192457,2677000,99017870
AE,UNITED ARAB EMIRATES,74150,2883365,247050,10350420
GB,UNITED KINGDOM,0,0,1000,137387
US,UNITED STATES,12701,1175021,176672,12891284
SUM,SUM,820801,31024871,3149756,126029399
