"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2022', 'Quantity')","('Feb 2022', 'CIF (Baht)')","('Jan - Feb 2022', 'Quantity')","('Jan - Feb 2022', 'CIF (Baht)')"
BE,BELGIUM,35125,2877112,81075,7417278
CN,CHINA,186634,10208450,490762,20461001
HK,HONG KONG,0,0,21,3412
IN,INDIA,0,0,5,761
IT,ITALY,32750,4654416,41075,5398770
JP,JAPAN,265719,31680489,705529,81652804
KR,"KOREA,REPUBLIC OF",1162930,127693799,2251674,254603635
MY,MALAYSIA,30060,1043679,77130,3730887
NL,NETHERLANDS,0,0,73250,7513841
SA,SAUDI ARABIA,297000,29322327,445500,46662232
SE,SWEDEN,46200,2525812,46200,2525812
TW,"TAIWAN, PROVINCE OF CHINA",1300975,124054076,2640475,256088356
GB,UNITED KINGDOM,0,0,39500,5853635
US,UNITED STATES,50142,4553069,110635,8935716
VN,VIETNAM,0,0,41675,1565743
SUM,SUM,3407535,338613229,7044506,702413883
