"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2022', 'Quantity')","('Jan 2022', 'CIF (Baht)')","('Jan - Jan 2022', 'Quantity')","('Jan - Jan 2022', 'CIF (Baht)')"
BE,BELGIUM,90045,6513246,90045,6513246
BR,BRAZIL,75000,3595922,75000,3595922
CN,CHINA,1316765,85091858,1316765,85091858
FI,FINLAND,22800,2416201,22800,2416201
DE,GERMANY,45001,3376759,45001,3376759
IN,INDIA,100,49163,100,49163
ID,INDONESIA,48100,4514936,48100,4514936
IL,ISRAEL,24000,2348840,24000,2348840
JP,JAPAN,386165,23945363,386165,23945363
KR,"KOREA,REPUBLIC OF",1718950,82628162,1718950,82628162
MY,MALAYSIA,40793,4790924,40793,4790924
MM,MYANMAR,400,23623,400,23623
OM,OMAN,99000,4410149,99000,4410149
SA,SAUDI ARABIA,1909500,84723232,1909500,84723232
SG,SINGAPORE,1005388,51630953,1005388,51630953
ZA,SOUTH AFRICA,49500,2330363,49500,2330363
TW,"TAIWAN, PROVINCE OF CHINA",357570,19229434,357570,19229434
US,UNITED STATES,316075,15785642,316075,15785642
VN,VIETNAM,50,8204,50,8204
SUM,SUM,7505202,397412974,7505202,397412974
