"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jul 2019', 'Quantity')","('Jul 2019', 'CIF (Baht)')","('Jan - Jul 2019', 'Quantity')","('Jan - Jul 2019', 'CIF (Baht)')"
AU,AUSTRALIA,1173500,44806436,1747611,65969503
AT,AUSTRIA,120,70092,3820,1074171
BE,BELGIUM,1,338,1,338
BR,BRAZIL,0,0,25,16597
CN,CHINA,2820569,117500548,9628066,441325037
HR,CROATIA,0,0,58722,502600
CZ,CZECH REPUBLIC,0,0,202,28715
FI,FINLAND,23075,1324497,93200,5383856
FR,FRANCE,2835,249428,3195,337841
DE,GERMANY,0,0,5315,691542
HK,HONG KONG,310500,1989884,2295185,17084545
IN,INDIA,48223,1582958,378107,9274404
ID,INDONESIA,19250,2012095,244015,22434687
IL,ISRAEL,0,0,10000,748442
IT,ITALY,7500,657349,49575,4297461
JP,JAPAN,986940,55685742,6802725,390491827
KR,"KOREA,REPUBLIC OF",1053650,50215480,10182528,499030497
MY,MALAYSIA,77658,7054702,477592,46810351
MX,MEXICO,0,0,262000,1885437
NL,NETHERLANDS,49500,4232158,459910,35418555
NO,NORWAY,0,0,3,1323
OM,OMAN,49500,1736270,1089000,38501974
PH,PHILIPPINES,0,0,304000,11618370
SA,SAUDI ARABIA,1773790,61289305,14389840,514985034
SG,SINGAPORE,1158723,52955245,4332929,231239078
SK,SLOVAKIA,1,396,1,396
SI,SLOVENIA,0,0,11,5339
ZA,SOUTH AFRICA,222750,8010331,495000,18518356
ES,SPAIN,0,0,11000,907499
TW,"TAIWAN, PROVINCE OF CHINA",195200,8555108,2069390,92621360
TH,THAILAND,52000,369907,101830,828283
TR,TÜRKIYE,15,30190,30,60380
AE,UNITED ARAB EMIRATES,668750,23427871,1761325,63645624
GB,UNITED KINGDOM,312,34230,6312,559983
US,UNITED STATES,54442,529607,266788,11022143
VN,VIETNAM,345,109543,830198,32261251
SUM,SUM,10749149,444429710,58359451,2559582799
