"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Dec 2019', 'Quantity')","('Dec 2019', 'CIF (Baht)')","('Jan - Dec 2019', 'Quantity')","('Jan - Dec 2019', 'CIF (Baht)')"
BE,BELGIUM,0,0,5500,831101
CA,CANADA,0,0,25,10775
CN,CHINA,4000,382506,62592,4219709
DE,GERMANY,0,0,1000,246495
JP,JAPAN,8225,882922,146352,11188795
KP,KOREA DPR,0,0,50,12505
KR,"KOREA,REPUBLIC OF",0,0,23207,1608623
MY,MALAYSIA,0,0,144200,5102375
NL,NETHERLANDS,11000,458359,482775,21156223
SA,SAUDI ARABIA,72100,2487909,936100,33240459
SG,SINGAPORE,877050,39941461,20612715,923376156
ES,SPAIN,2200,125650,808395,42828055
AE,UNITED ARAB EMIRATES,134750,3798960,4558475,149082102
US,UNITED STATES,972125,31913615,3266148,126665253
SUM,SUM,2081450,79991382,31047534,1319568626
