"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2018', 'Quantity')","('Mar 2018', 'CIF (Baht)')","('Jan - Mar 2018', 'Quantity')","('Jan - Mar 2018', 'CIF (Baht)')"
AT,AUSTRIA,0,0,828,380985
BE,BELGIUM,0,0,200375,10381552
CA,CANADA,0,0,148,67074
CN,CHINA,1940487,92734850,5622522,273239095
FR,FRANCE,0,0,360,72774
DE,GERMANY,12750,2399721,31270,7113225
HK,HONG KONG,0,0,214,35887
IN,INDIA,78510,1457431,155310,4004620
ID,INDONESIA,8380,1078930,89980,8434925
IT,ITALY,49800,2710093,49800,2710093
JP,JAPAN,824607,58144101,2448560,176399286
KR,"KOREA,REPUBLIC OF",2073326,96394915,6018734,279269219
MY,MALAYSIA,56603,7166549,227469,23182358
NL,NETHERLANDS,49500,4237292,297000,26181402
NZ,NEW ZEALAND,0,0,985,979232
PH,PHILIPPINES,304000,12428224,304000,12428224
RU,RUSSIAN FEDERATION,150,29266,150,29266
SA,SAUDI ARABIA,3452420,137148433,9402610,373299747
SG,SINGAPORE,1149554,61884263,3294297,170063328
SK,SLOVAKIA,0,0,9700,625647
ZA,SOUTH AFRICA,0,0,49500,1854433
TW,"TAIWAN, PROVINCE OF CHINA",347982,16858903,767845,35222654
TH,THAILAND,19500,903463,61550,3337781
AE,UNITED ARAB EMIRATES,184250,7471289,319100,12835005
US,UNITED STATES,21608,1986450,36910,3491314
VN,VIETNAM,1978,297117,26132,3372697
SUM,SUM,10575405,505331290,29415349,1429011823
