"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2023', 'Quantity')","('Mar 2023', 'CIF (Baht)')","('Jan - Mar 2023', 'Quantity')","('Jan - Mar 2023', 'CIF (Baht)')"
CN,CHINA,60005,8263714,125006,11648735
HK,HONG KONG,1,157,1,157
IL,ISRAEL,240,24848,240,24848
JP,JAPAN,7075,977421,12285,1798023
KR,"KOREA,REPUBLIC OF",1,295,104,51540
MY,MALAYSIA,0,0,15,7962
SA,SAUDI ARABIA,309260,12792853,549860,22433517
TW,"TAIWAN, PROVINCE OF CHINA",23475,992088,23775,1101283
GB,UNITED KINGDOM,4,8570,4,8570
SUM,SUM,400061,23059946,711290,37074635
