"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2014', 'Quantity')","('Mar 2014', 'CIF (Baht)')","('Jan - Mar 2014', 'Quantity')","('Jan - Mar 2014', 'CIF (Baht)')"
AU,AUSTRALIA,15200,558540,79200,2660492
BE,BELGIUM,147510,9978502,220190,15093201
CN,CHINA,74250,4453321,137050,7732563
FR,FRANCE,0,0,11000,863719
DE,GERMANY,1021,2484905,16316,13385199
GT,GUATEMALA,0,0,25,36357
IN,INDIA,0,0,6,1432
JP,JAPAN,1373193,87536446,4687682,293969297
KR,"KOREA,REPUBLIC OF",34050,1893187,119225,6590492
KW,KUWAIT,643500,32753416,1856250,93405269
MY,MALAYSIA,659000,36320918,1836212,101506114
NZ,NEW ZEALAND,50,27779,50,27779
PE,PERU,140,83570,140,83570
QA,QATAR,1428820,77248802,3554660,189061242
SA,SAUDI ARABIA,2054250,106634419,8107750,414823173
SG,SINGAPORE,1404500,75056171,3362860,177922837
TW,"TAIWAN, PROVINCE OF CHINA",21000,472500,45455,1300325
AE,UNITED ARAB EMIRATES,1042250,53840924,2948000,150903504
US,UNITED STATES,11156,680505,255342,17977844
SUM,SUM,8909890,490023905,27237413,1487344409
