"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2018', 'Quantity')","('Jun 2018', 'CIF (Baht)')","('Jan - Jun 2018', 'Quantity')","('Jan - Jun 2018', 'CIF (Baht)')"
BE,BELGIUM,0,0,505,207055
CN,CHINA,25,9650,1725,502739
DE,GERMANY,0,0,80,36149
HK,HONG KONG,45,7481,45,7481
IT,ITALY,1,2168,1,2168
JP,JAPAN,400,39672,2892,472070
NL,NETHERLANDS,0,0,550,95022
SG,SINGAPORE,4400,1949670,4500,1970606
TW,"TAIWAN, PROVINCE OF CHINA",1000,62347,1095,66336
GB,UNITED KINGDOM,276,148492,276,148492
US,UNITED STATES,0,0,6,7096
SUM,SUM,6147,2219480,11675,3515214
