"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Oct 2015', 'Quantity')","('Oct 2015', 'CIF (Baht)')","('Jan - Oct 2015', 'Quantity')","('Jan - Oct 2015', 'CIF (Baht)')"
BE,BELGIUM,24000,2550612,180000,19093405
CA,CANADA,0,0,12701,584044
CN,CHINA,1000,111188,74150,5417281
IT,ITALY,0,0,50,21948
JP,JAPAN,2000,145860,27225,2286736
KR,"KOREA,REPUBLIC OF",44000,2932483,231177,14225163
SG,SINGAPORE,941950,39086837,8247850,366960642
TW,"TAIWAN, PROVINCE OF CHINA",0,0,18000,1377000
AE,UNITED ARAB EMIRATES,0,0,421900,21355513
US,UNITED STATES,252418,16763318,514656,34226480
SUM,SUM,1265368,61590298,9727709,465548212
