"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Nov 2012', 'Quantity')","('Nov 2012', 'CIF (Baht)')","('Jan - Nov 2012', 'Quantity')","('Jan - Nov 2012', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,65000,3568240
BE,BELGIUM,29500,2878598,144795,19595639
BR,BRAZIL,0,0,21111,3851175
CA,CANADA,8000,1323426,32000,4202680
CN,CHINA,125920,14376150,575560,54374939
FR,FRANCE,10025,1272073,24225,3053398
DE,GERMANY,311,150883,221844,17512543
HK,HONG KONG,0,0,11754,5434431
IN,INDIA,0,0,775,147189
ID,INDONESIA,16350,1682728,110660,11772590
IT,ITALY,5500,630438,248300,17481653
JP,JAPAN,1305267,97896870,13973478,1047934778
KR,"KOREA,REPUBLIC OF",947850,49699918,11869390,646297693
MY,MALAYSIA,45000,2008602,1243534,60547392
NL,NETHERLANDS,123875,7862040,1470350,103448671
NO,NORWAY,8,7163,8,7163
SA,SAUDI ARABIA,495000,22458144,3372600,153484896
SG,SINGAPORE,5488225,281645339,50358505,2576740491
CH,SWITZERLAND,1,4519,6,26303
TW,"TAIWAN, PROVINCE OF CHINA",368030,20878803,3421185,193596507
TR,TÜRKIYE,0,0,675,155322
AE,UNITED ARAB EMIRATES,99000,4534147,2475000,105524870
GB,UNITED KINGDOM,15400,1524253,50431,6342967
US,UNITED STATES,55000,4077117,862683,67150854
VN,VIETNAM,0,0,23021,2192389
SUM,SUM,9138262,514911211,90576890,5104444773
