"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2017', 'Quantity')","('May 2017', 'CIF (Baht)')","('Jan - May 2017', 'Quantity')","('Jan - May 2017', 'CIF (Baht)')"
BE,BELGIUM,109881,8574142,561276,37296099
CA,CANADA,35750,2294623,108720,6500044
CN,CHINA,108837,3921885,380291,21527608
DE,GERMANY,84,53002,10084,884909
HK,HONG KONG,0,0,9,1875
IN,INDIA,0,0,2000,137845
IT,ITALY,36760,4289637,51010,6660101
JP,JAPAN,112603,9155566,723364,50375349
KR,"KOREA,REPUBLIC OF",264000,14538399,1730805,96181582
LA,LAO PDR,0,0,4,11613
MY,MALAYSIA,100850,4523808,669220,28043784
SA,SAUDI ARABIA,247500,12074818,816750,40474856
SG,SINGAPORE,800,130735,73415,4262291
TW,"TAIWAN, PROVINCE OF CHINA",97515,6004490,470937,29890498
GB,UNITED KINGDOM,0,0,604,454051
US,UNITED STATES,177650,9316018,732470,39151108
VN,VIETNAM,72130,1572034,115010,2307777
SUM,SUM,1364360,76449157,6445969,364161390
