"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2021', 'Quantity')","('Jun 2021', 'CIF (Baht)')","('Jan - Jun 2021', 'Quantity')","('Jan - Jun 2021', 'CIF (Baht)')"
CA,CANADA,0,0,16250,2333688
CN,CHINA,49062,6819510,129731,18682400
DE,GERMANY,0,0,1015,411943
HK,HONG KONG,0,0,1,96
IN,INDIA,0,0,14821,825113
JP,JAPAN,3000,428537,47292,7480462
SG,SINGAPORE,4000,1144095,4000,1144095
ES,SPAIN,2,1755,2,1755
TR,TÜRKIYE,5,289,1085,62024
GB,UNITED KINGDOM,0,0,623,321860
US,UNITED STATES,2,2120,125,128246
SUM,SUM,56071,8396306,214945,31391682
