"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Aug 2012', 'Quantity')","('Aug 2012', 'CIF (Baht)')","('Jan - Aug 2012', 'Quantity')","('Jan - Aug 2012', 'CIF (Baht)')"
AU,AUSTRALIA,21168,552570,107168,4137153
AT,AUSTRIA,0,0,12,104746
BE,BELGIUM,119200,6112393,876885,56477213
BR,BRAZIL,0,0,300,87619
CA,CANADA,146060,5848599,745100,30693245
CN,CHINA,299558,20171825,3151103,200307571
DK,DENMARK,140,689105,1382,1845497
FI,FINLAND,123750,8351701,841500,54647299
FR,FRANCE,5500,472024,5504,495387
DE,GERMANY,68698,6356272,314913,31363704
HK,HONG KONG,0,0,289000,28627150
ID,INDONESIA,2100,1130963,133902,9527630
IL,ISRAEL,0,0,10,4152
IT,ITALY,130,44203,130,44203
JP,JAPAN,251289,28764747,3956791,320846466
KR,"KOREA,REPUBLIC OF",298000,16774691,2433861,139120723
KW,KUWAIT,519750,20107114,4380850,176974022
LI,LIECHTENSTEIN,6,11043,6,11043
MY,MALAYSIA,2529508,108697806,25700860,1172757364
NL,NETHERLANDS,197620,15151009,601734,48242329
NZ,NEW ZEALAND,48950,2386832,96950,3552323
NO,NORWAY,0,0,49500,2800662
QA,QATAR,229500,9158412,2040200,88229845
SA,SAUDI ARABIA,2041650,84241780,16197294,707129684
SG,SINGAPORE,1694072,80406271,15207130,735269076
ES,SPAIN,82000,7891872,809000,82592227
CH,SWITZERLAND,1000,221840,19300,4149128
TW,"TAIWAN, PROVINCE OF CHINA",11550,424945,125996,8625019
AE,UNITED ARAB EMIRATES,99000,3655838,594000,24445454
GB,UNITED KINGDOM,0,0,14234,802288
US,UNITED STATES,421866,24077940,3363192,185265554
VN,VIETNAM,0,0,13500,972793
SUM,SUM,9212065,451701795,82071307,4120148569
