"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jul 2021', 'Quantity')","('Jul 2021', 'CIF (Baht)')","('Jan - Jul 2021', 'Quantity')","('Jan - Jul 2021', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,37300,567802
BE,BELGIUM,0,0,49500,2730674
BR,BRAZIL,0,0,2750,259381
CN,CHINA,0,0,50092,355356
ID,INDONESIA,0,0,60000,2452328
JP,JAPAN,28700,1680636,161326,8858666
KR,"KOREA,REPUBLIC OF",50,3410,102150,8879337
QA,QATAR,102000,4399879,510000,19821614
SA,SAUDI ARABIA,71100,3522282,2305200,87813089
SG,SINGAPORE,1,126,1,126
ES,SPAIN,0,0,30,19522
CH,SWITZERLAND,0,0,0,709
TW,"TAIWAN, PROVINCE OF CHINA",6000,978174,444000,18314384
AE,UNITED ARAB EMIRATES,0,0,2750,134367
US,UNITED STATES,0,0,218,79039
SUM,SUM,207851,10584507,3725317,150286394
