"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2022', 'Quantity')","('Mar 2022', 'CIF (Baht)')","('Jan - Mar 2022', 'Quantity')","('Jan - Mar 2022', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,18385,1493444
BE,BELGIUM,5000,784179,37150,3178308
BR,BRAZIL,841501,62596848,1683901,125883810
CA,CANADA,74250,3232115,99000,4378503
CN,CHINA,49785,3075369,130135,12864762
FI,FINLAND,49500,3949590,49500,3949590
FR,FRANCE,19250,1983938,19250,1983938
DE,GERMANY,475103,36222864,1188427,94037850
HK,HONG KONG,9,190816,9,190816
IN,INDIA,0,0,8,1389
ID,INDONESIA,5039,271706,15039,5516769
IL,ISRAEL,0,0,9600,1101525
IT,ITALY,10600,3747419,21521,8107322
JP,JAPAN,239451,18222108,706383,59279628
KR,"KOREA,REPUBLIC OF",242650,12999558,777415,42411591
KW,KUWAIT,1113750,45686434,2697750,115085073
LU,LUXEMBOURG,6250,1097602,15000,3091743
MY,MALAYSIA,6305895,329508771,15290268,811795892
NL,NETHERLANDS,277760,29460852,815910,69633055
NO,NORWAY,71000,6874828,243160,21461572
OM,OMAN,24750,1009911,297000,12256043
QA,QATAR,1887000,91022552,3825000,188948678
SA,SAUDI ARABIA,3596250,177149691,8550840,420440628
SG,SINGAPORE,2361650,131457128,6232775,351654251
CH,SWITZERLAND,0,0,1,2325
TW,"TAIWAN, PROVINCE OF CHINA",24500,1152402,43193,4254665
TH,THAILAND,0,0,30,11124
AE,UNITED ARAB EMIRATES,717750,33647658,1386000,65692148
GB,UNITED KINGDOM,0,0,16,93078
US,UNITED STATES,111218,6324288,528269,34982362
VN,VIETNAM,1000,165161,53000,4173876
SUM,SUM,18510911,1001833788,44733935,2467955758
