"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2013', 'Quantity')","('Mar 2013', 'CIF (Baht)')","('Jan - Mar 2013', 'Quantity')","('Jan - Mar 2013', 'CIF (Baht)')"
AT,AUSTRIA,0,0,2750,207213
BE,BELGIUM,0,0,77,43197
JP,JAPAN,2,15265,22,27597
KR,"KOREA,REPUBLIC OF",22000,1121898,44000,2111514
NL,NETHERLANDS,0,0,25,8055
QA,QATAR,0,0,76500,3176243
SA,SAUDI ARABIA,49500,2141805,131000,5583667
SK,SLOVAKIA,0,0,5,3733
AE,UNITED ARAB EMIRATES,200,39639,200,39639
US,UNITED STATES,71600,4408360,149550,8412462
SUM,SUM,143302,7726967,404129,19613320
