"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2022', 'Quantity')","('May 2022', 'CIF (Baht)')","('Jan - May 2022', 'Quantity')","('Jan - May 2022', 'CIF (Baht)')"
AT,AUSTRIA,740,1135549,2222,3643986
BD,BANGLADESH,0,0,22,5948
BE,BELGIUM,0,0,6330,2089614
BZ,BELIZE,764,266807,764,266807
BR,BRAZIL,0,0,1337,500131
CA,CANADA,0,0,11,121484
CN,CHINA,126513,11347600,654303,54966948
FR,FRANCE,49437,4196376,110909,8205079
DE,GERMANY,343358,29648188,915279,75214659
HK,HONG KONG,120000,10315956,249600,23315206
IN,INDIA,3,421,28,5313
ID,INDONESIA,26,7083,22569,2495422
IT,ITALY,5320,1153675,15580,3349964
JP,JAPAN,186198,27420309,869634,145059252
KR,"KOREA,REPUBLIC OF",430125,36011687,1997808,133257712
MY,MALAYSIA,106100,10893711,582898,49540566
NL,NETHERLANDS,0,0,40400,5951202
NO,NORWAY,0,0,480,191411
SA,SAUDI ARABIA,0,0,594025,25602865
SG,SINGAPORE,69774,10034554,224019,32902841
ES,SPAIN,0,0,0,991
TW,"TAIWAN, PROVINCE OF CHINA",1,117,2644,3023785
TH,THAILAND,0,0,150,28270
AE,UNITED ARAB EMIRATES,495000,26614275,1144440,78344691
GB,UNITED KINGDOM,380,105539,36998,5700536
US,UNITED STATES,64520,10944902,402680,72177918
VN,VIETNAM,5300,512628,10304,980160
SUM,SUM,2003559,180609377,7885434,726942761
