"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Dec 2018', 'Quantity')","('Dec 2018', 'CIF (Baht)')","('Jan - Dec 2018', 'Quantity')","('Jan - Dec 2018', 'CIF (Baht)')"
BE,BELGIUM,0,0,14400,655409
CN,CHINA,1200,131979,50030,3938046
FR,FRANCE,1210,285452,93084,9754273
DE,GERMANY,1300,191970,7652,1369201
IN,INDIA,0,0,14400,810582
JP,JAPAN,122200,6168995,803525,43091744
KR,"KOREA,REPUBLIC OF",88490,4604513,2653685,129094659
MY,MALAYSIA,0,0,20,5625
RU,RUSSIAN FEDERATION,0,0,33000,5439035
TW,"TAIWAN, PROVINCE OF CHINA",0,0,0,2177
GB,UNITED KINGDOM,0,0,0,385
US,UNITED STATES,1,1397,1466,319860
SUM,SUM,214401,11384306,3671262,194480996
