"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Dec 2013', 'Quantity')","('Dec 2013', 'CIF (Baht)')","('Jan - Dec 2013', 'Quantity')","('Jan - Dec 2013', 'CIF (Baht)')"
AU,AUSTRALIA,72975,4306286,747950,39087607
AT,AUSTRIA,0,0,1616,2291058
BE,BELGIUM,500,82026,39101,4697110
CA,CANADA,10248,1528810,33600,5135054
CN,CHINA,98580,4493198,1697216,77732335
EC,ECUADOR,0,0,28,22799
FR,FRANCE,19500,1310055,266259,22153170
DE,GERMANY,40823,8572658,515427,90397081
HK,HONG KONG,0,0,11000,860454
IN,INDIA,1000,89283,7025,401347
ID,INDONESIA,0,0,243378,18953544
IE,IRELAND,0,0,100,33009
IL,ISRAEL,0,0,4800,784310
IT,ITALY,1020,120374,38208,5542300
JP,JAPAN,180487,36744000,2355726,460537465
KR,"KOREA,REPUBLIC OF",292815,19044828,3036084,198877478
MY,MALAYSIA,112800,9264164,1645012,145148196
NL,NETHERLANDS,129900,14052057,1454694,153798892
PG,PAPUA NEW GUINEA,0,0,32,16384
PH,PHILIPPINES,0,0,50,64855
SA,SAUDI ARABIA,247500,11836382,3218875,147925687
SG,SINGAPORE,35650,4857401,696013,72960994
ES,SPAIN,0,0,97075,7826158
CH,SWITZERLAND,0,0,4500,3188269
TW,"TAIWAN, PROVINCE OF CHINA",3294,362804,883653,56739843
TH,THAILAND,0,0,50,21793
TR,TÜRKIYE,0,0,20,39394
GB,UNITED KINGDOM,5500,862754,512448,56081466
US,UNITED STATES,51571,6570787,590201,85516600
VN,VIETNAM,0,0,185,124190
SUM,SUM,1304163,124097867,18100326,1656958842
