"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Dec 2020', 'Quantity')","('Dec 2020', 'CIF (Baht)')","('Jan - Dec 2020', 'Quantity')","('Jan - Dec 2020', 'CIF (Baht)')"
BE,BELGIUM,0,0,7,2851
CN,CHINA,0,0,39800,2229379
FR,FRANCE,140900,4093083,609998,23162397
DE,GERMANY,0,0,5604,964137
IN,INDIA,14401,583439,502932,16121019
IT,ITALY,0,0,1125,248530
JP,JAPAN,85080,4222531,466314,25548058
KR,"KOREA,REPUBLIC OF",278680,12573844,2314230,105852283
MX,MEXICO,0,0,825,344154
NL,NETHERLANDS,0,0,0,16835
RU,RUSSIAN FEDERATION,0,0,24750,3888565
SG,SINGAPORE,0,0,8,2717
US,UNITED STATES,1002,150688,6568,1564099
VN,VIETNAM,0,0,1425,149904
SUM,SUM,520063,21623585,3973586,180094928
