"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jul 2019', 'Quantity')","('Jul 2019', 'CIF (Baht)')","('Jan - Jul 2019', 'Quantity')","('Jan - Jul 2019', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,14848,919700
BE,BELGIUM,177000,7079236,1000625,40941696
BR,BRAZIL,0,0,425,54004
CA,CANADA,0,0,125050,4051049
CN,CHINA,191825,13042999,777850,51361733
FR,FRANCE,0,0,22000,1735056
ID,INDONESIA,67500,5122990,405175,26277684
IL,ISRAEL,12000,789214,22111,1701056
JP,JAPAN,55975,6558331,2383622,130766378
KR,"KOREA,REPUBLIC OF",28000,964594,380700,15092990
KW,KUWAIT,272250,8270537,1707750,54800513
MY,MALAYSIA,57000,1764228,481000,17095851
NL,NETHERLANDS,20000,777738,140000,5768277
QA,QATAR,408000,12618022,2448000,79239556
SA,SAUDI ARABIA,3322850,110463336,22558600,764308942
SG,SINGAPORE,486250,17992251,4271725,160416253
ZA,SOUTH AFRICA,99000,3162492,420750,13736419
ES,SPAIN,0,0,148500,5300780
TW,"TAIWAN, PROVINCE OF CHINA",0,0,10,2432
AE,UNITED ARAB EMIRATES,1361250,44877589,5837500,204579808
US,UNITED STATES,1343577,49144333,4726852,174431241
VN,VIETNAM,0,0,50,1338
SUM,SUM,7902477,282627890,47873143,1752582756
