"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Nov 2014', 'Quantity')","('Nov 2014', 'CIF (Baht)')","('Jan - Nov 2014', 'Quantity')","('Jan - Nov 2014', 'CIF (Baht)')"
CN,CHINA,15000,1392970,115725,9795960
FR,FRANCE,0,0,11000,927580
DE,GERMANY,0,0,1000,117562
IT,ITALY,0,0,68700,11384753
JP,JAPAN,0,0,2556,214365
KR,"KOREA,REPUBLIC OF",43800,3418235,784048,60296342
MY,MALAYSIA,2690,333473,31380,3112637
ES,SPAIN,0,0,23000,1935581
TW,"TAIWAN, PROVINCE OF CHINA",0,0,95,19375
GB,UNITED KINGDOM,500,127690,38785,3851960
US,UNITED STATES,1950,175862,17477,1974470
VN,VIETNAM,0,0,2400,623808
SUM,SUM,63940,5448230,1096166,94254393
