"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2021', 'Quantity')","('Jun 2021', 'CIF (Baht)')","('Jan - Jun 2021', 'Quantity')","('Jan - Jun 2021', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,616,55903
AT,AUSTRIA,0,0,40,48809
BE,BELGIUM,138100,10824675,703350,37206596
BR,BRAZIL,232375,18319247,1801125,141203363
CA,CANADA,0,0,27080,1470949
CN,CHINA,110483,6517627,349791,21762783
FI,FINLAND,150,12589,150,12589
FR,FRANCE,44000,2370357,132000,6066769
DE,GERMANY,4651,5785977,647186,70162720
IN,INDIA,15000,796277,15000,796277
ID,INDONESIA,60010,2465377,113110,4711290
IT,ITALY,158600,9391153,1073025,51980829
JP,JAPAN,750777,38602217,6358201,299975406
KR,"KOREA,REPUBLIC OF",1562000,62510667,6087851,229437798
KW,KUWAIT,148500,6007754,1311750,44420070
MY,MALAYSIA,519500,19412154,2569650,92418064
NL,NETHERLANDS,0,0,975,216248
NO,NORWAY,8,2474,8,2474
OM,OMAN,49500,1930748,74250,2825612
PH,PHILIPPINES,25,6540,27,8321
PT,PORTUGAL,0,0,225,11427
QA,QATAR,2307380,95906149,9081960,333888103
SA,SAUDI ARABIA,1554170,60645231,7504714,263181687
SG,SINGAPORE,2482760,106245991,11569180,451337861
CH,SWITZERLAND,0,0,11000,499218
TW,"TAIWAN, PROVINCE OF CHINA",286300,13773321,1125100,52145637
TH,THAILAND,0,0,2,2095
AE,UNITED ARAB EMIRATES,346500,14432045,4600525,163700229
US,UNITED STATES,1719613,78979925,10401051,423440221
VN,VIETNAM,23,5040,73,12493
SUM,SUM,12490425,554943535,65559015,2693001841
