"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2017', 'Quantity')","('Feb 2017', 'CIF (Baht)')","('Jan - Feb 2017', 'Quantity')","('Jan - Feb 2017', 'CIF (Baht)')"
BE,BELGIUM,0,0,281,74082
CN,CHINA,8100,645521,18100,2466741
JP,JAPAN,14500,1046184,31700,2275606
KR,"KOREA,REPUBLIC OF",80000,3785800,137000,6636169
NL,NETHERLANDS,123750,10377778,123750,10377778
SA,SAUDI ARABIA,24750,1097687,49500,2285521
CH,SWITZERLAND,0,0,3,2797
TW,"TAIWAN, PROVINCE OF CHINA",10000,1170866,21000,2480757
US,UNITED STATES,0,0,1,38
SUM,SUM,261100,18123836,381335,26599489
