"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2013', 'Quantity')","('Apr 2013', 'CIF (Baht)')","('Jan - Apr 2013', 'Quantity')","('Jan - Apr 2013', 'CIF (Baht)')"
AU,AUSTRALIA,14400,710813,102575,4781309
AT,AUSTRIA,0,0,390,640236
BE,BELGIUM,100,61941,15862,1805759
CN,CHINA,134414,5490246,503286,20260255
FR,FRANCE,19180,1237361,27980,2706445
DE,GERMANY,50735,8003211,109953,18394989
HK,HONG KONG,0,0,0,6800
IN,INDIA,0,0,5999,306058
ID,INDONESIA,22510,1373465,100278,7400595
IE,IRELAND,0,0,100,33009
IL,ISRAEL,1200,183867,1200,183867
IT,ITALY,8000,619663,13162,1162187
JP,JAPAN,203703,37446961,900509,169443961
KR,"KOREA,REPUBLIC OF",276255,18108917,1123628,73243010
MY,MALAYSIA,101700,8689953,517413,46306586
NL,NETHERLANDS,90000,8709159,472828,48993452
PG,PAPUA NEW GUINEA,0,0,32,16384
SA,SAUDI ARABIA,173250,8065981,1014750,45340758
SG,SINGAPORE,179520,17204488,454195,42860100
ES,SPAIN,24750,1931663,24750,1931663
CH,SWITZERLAND,0,0,1000,693764
TW,"TAIWAN, PROVINCE OF CHINA",90408,6115761,331135,25051409
GB,UNITED KINGDOM,8164,1447105,152492,17657673
US,UNITED STATES,47994,7925809,233666,35013137
VN,VIETNAM,42,16388,80,36924
SUM,SUM,1446325,133342752,6107263,564270330
