"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2014', 'Quantity')","('Jun 2014', 'CIF (Baht)')","('Jan - Jun 2014', 'Quantity')","('Jan - Jun 2014', 'CIF (Baht)')"
AU,AUSTRALIA,45423,2772892,370423,22395207
AT,AUSTRIA,323,395668,758,1021490
BE,BELGIUM,680,156663,2000,635105
CA,CANADA,0,0,37370,6032942
CN,CHINA,182409,12980113,1065543,65700012
CZ,CZECH REPUBLIC,15,8494,17,10782
EC,ECUADOR,0,0,2,2012
FR,FRANCE,20060,1407359,183403,16047168
DE,GERMANY,1722,472199,89133,19766273
HK,HONG KONG,0,0,61,42968
IN,INDIA,2041,226283,18691,1581631
ID,INDONESIA,22501,2276989,66051,6729134
IE,IRELAND,0,0,100,39664
IL,ISRAEL,0,0,9800,1016401
IT,ITALY,10670,2633668,12242,2802605
JP,JAPAN,106597,31478104,811809,189650324
KR,"KOREA,REPUBLIC OF",322561,24212824,1654106,119694291
MY,MALAYSIA,97020,8846311,834006,74260394
NL,NETHERLANDS,130000,14671645,882020,101213797
SA,SAUDI ARABIA,297000,15181803,1444750,73758862
SG,SINGAPORE,86400,9662380,607600,75720124
ES,SPAIN,0,0,117950,9862054
CH,SWITZERLAND,1000,910150,1000,923349
TW,"TAIWAN, PROVINCE OF CHINA",62575,4021699,629898,44233883
TH,THAILAND,0,0,275,1574
TR,TÜRKIYE,0,0,250,108745
AE,UNITED ARAB EMIRATES,24750,1314009,28250,1560046
US,UNITED STATES,29004,3808104,384483,48993993
VN,VIETNAM,9000,2327514,9000,2327514
SUM,SUM,1451751,139764871,9260991,886132344
