"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jul 2021', 'Quantity')","('Jul 2021', 'CIF (Baht)')","('Jan - Jul 2021', 'Quantity')","('Jan - Jul 2021', 'CIF (Baht)')"
BE,BELGIUM,1375,133024,7800,550188
CN,CHINA,0,0,33523,2559111
FR,FRANCE,0,0,25,25328
KR,"KOREA,REPUBLIC OF",91600,9639327,969000,70526011
MY,MALAYSIA,0,0,13750,1671746
SG,SINGAPORE,0,0,1780,1570749
GB,UNITED KINGDOM,0,0,37150,2809940
US,UNITED STATES,0,0,12701,1520103
VN,VIETNAM,0,0,3360,313488
SUM,SUM,92975,9772351,1079089,81546664
