"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2018', 'Quantity')","('May 2018', 'CIF (Baht)')","('Jan - May 2018', 'Quantity')","('Jan - May 2018', 'CIF (Baht)')"
BE,BELGIUM,135040,8174361,661850,38304233
BR,BRAZIL,0,0,1100,174632
CA,CANADA,0,0,42400,2479953
CN,CHINA,257421,11620332,938617,41879125
DE,GERMANY,10,3580,10411,951207
IN,INDIA,0,0,1625,736343
IT,ITALY,47539,5015568,108589,11198473
JP,JAPAN,215568,13255747,902861,58905269
KR,"KOREA,REPUBLIC OF",359200,18841452,2881243,151896302
MY,MALAYSIA,103400,5204541,668070,33081148
SA,SAUDI ARABIA,123750,5787795,767250,35900326
SG,SINGAPORE,504000,29538271,745600,42657607
SE,SWEDEN,40000,1578735,40000,1578735
TW,"TAIWAN, PROVINCE OF CHINA",838000,44983151,1718350,92548879
AE,UNITED ARAB EMIRATES,0,0,366900,17916034
GB,UNITED KINGDOM,0,0,9701,1227063
US,UNITED STATES,14600,1251634,636328,40386410
VN,VIETNAM,600,28286,4220,326790
SUM,SUM,2639128,145283453,10505115,572148529
