"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2023', 'Quantity')","('Mar 2023', 'CIF (Baht)')","('Jan - Mar 2023', 'Quantity')","('Jan - Mar 2023', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,26,7028
AT,AUSTRIA,380,234057,25838,3704636
BE,BELGIUM,0,0,150,25446
CN,CHINA,3369434,141789674,5880487,264033665
FR,FRANCE,1512,559599,1512,559599
DE,GERMANY,18020,2363028,80020,10478405
HK,HONG KONG,22,4652,23,5116
IN,INDIA,347086,19241210,1287679,71163419
ID,INDONESIA,15100,2207319,45751,5336094
JP,JAPAN,707665,50181324,1766911,144001883
KR,"KOREA,REPUBLIC OF",2490511,100175303,4912376,203339727
LV,LATVIA,0,0,11308,587246
MY,MALAYSIA,202366,7419297,303536,18145953
MX,MEXICO,0,0,614,41130
NL,NETHERLANDS,0,0,49500,4597632
OM,OMAN,445500,16348095,2574000,85887028
SA,SAUDI ARABIA,2182930,78153541,6115740,209533911
SG,SINGAPORE,179375,7102669,1222880,47696056
ZA,SOUTH AFRICA,0,0,24750,866210
ES,SPAIN,0,0,25,905
TW,"TAIWAN, PROVINCE OF CHINA",73722,5888352,225690,14626853
TH,THAILAND,0,0,125,4079
AE,UNITED ARAB EMIRATES,2895950,107148123,7099200,245998238
US,UNITED STATES,1186,374605,3136,619686
VN,VIETNAM,2666285,101768301,5733050,210292857
SUM,SUM,15597044,640959149,37364327,1541552802
