"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2014', 'Quantity')","('Apr 2014', 'CIF (Baht)')","('Jan - Apr 2014', 'Quantity')","('Jan - Apr 2014', 'CIF (Baht)')"
CN,CHINA,1500,150812,18525,1749002
FR,FRANCE,11000,927580,11000,927580
DE,GERMANY,0,0,1000,117562
IT,ITALY,13750,2229024,42950,7019619
KR,"KOREA,REPUBLIC OF",42000,2684794,284816,20526614
MY,MALAYSIA,4000,389764,7200,702942
TW,"TAIWAN, PROVINCE OF CHINA",0,0,20,4104
GB,UNITED KINGDOM,0,0,22600,2341465
US,UNITED STATES,0,0,7423,904927
VN,VIETNAM,1200,313178,1200,313178
SUM,SUM,73450,6695152,396734,34606993
