"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2015', 'Quantity')","('Sept 2015', 'CIF (Baht)')","('Jan - Sept 2015', 'Quantity')","('Jan - Sept 2015', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,1903,242893
AT,AUSTRIA,286,441614,1624,2243120
BE,BELGIUM,42100,9652446,328094,59661076
CA,CANADA,10416,1915978,28544,4989331
CN,CHINA,107569,5478306,1493899,84633111
CZ,CZECH REPUBLIC,4,3583,4,3583
FR,FRANCE,50084,4247399,269160,22767193
DE,GERMANY,320,103397,45077,11876322
HK,HONG KONG,153,42973,179,49094
IN,INDIA,1512,130438,113341,4949221
ID,INDONESIA,0,0,65107,6574792
IE,IRELAND,0,0,100,35540
IL,ISRAEL,2400,387744,12000,1847760
IT,ITALY,11220,1657153,29499,3378560
JP,JAPAN,237257,36934891,1546596,257064466
KR,"KOREA,REPUBLIC OF",87315,7637201,2912567,191569295
MY,MALAYSIA,338267,20087623,1485175,117856324
MX,MEXICO,1,1673,41505,2579355
MA,MOROCCO,0,0,207,110098
NL,NETHERLANDS,255730,25303635,1239616,115112752
PH,PHILIPPINES,0,0,50,8312
SA,SAUDI ARABIA,222750,9525441,2648250,114922764
SG,SINGAPORE,72552,7757383,699627,113349577
ES,SPAIN,10725,1016765,221975,19490084
CH,SWITZERLAND,1000,745197,3000,2421398
TW,"TAIWAN, PROVINCE OF CHINA",29000,4121623,1168840,72551803
TH,THAILAND,23,21138,3463,528739
TR,TÜRKIYE,0,0,250,92786
AE,UNITED ARAB EMIRATES,74606,3752687,322106,13441765
GB,UNITED KINGDOM,716,138120,18819,3484976
US,UNITED STATES,77814,11890555,368699,55969029
VN,VIETNAM,12000,1180142,98000,26265620
SUM,SUM,1645820,154175105,15167276,1310070739
