"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Aug 2013', 'Quantity')","('Aug 2013', 'CIF (Baht)')","('Jan - Aug 2013', 'Quantity')","('Jan - Aug 2013', 'CIF (Baht)')"
BE,BELGIUM,0,0,84600,8176970
CA,CANADA,0,0,500,54927
CN,CHINA,0,0,132900,12839466
FR,FRANCE,0,0,23100,2121342
DE,GERMANY,0,0,59903,11510862
IN,INDIA,300,18863,6300,657766
IT,ITALY,0,0,15125,3072731
JP,JAPAN,0,0,21255,2556910
KR,"KOREA,REPUBLIC OF",0,0,168100,13242685
MY,MALAYSIA,0,0,7300,1061094
SG,SINGAPORE,0,0,390025,16607320
SE,SWEDEN,0,0,22400,3380533
CH,SWITZERLAND,0,0,0,1757
TH,THAILAND,0,0,800,73317
AE,UNITED ARAB EMIRATES,37700,1928484,406722,19471402
GB,UNITED KINGDOM,0,0,300,27819
US,UNITED STATES,24956,2636443,303338,22053184
VN,VIETNAM,1000,125758,3000,366806
SUM,SUM,63956,4709548,1645668,117276891
