"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jul 2017', 'Quantity')","('Jul 2017', 'CIF (Baht)')","('Jan - Jul 2017', 'Quantity')","('Jan - Jul 2017', 'CIF (Baht)')"
BE,BELGIUM,1,33106,1,33106
CA,CANADA,1,27898,1,27898
CN,CHINA,301,323044,301,323443
DE,GERMANY,0,3655,0,3655
IN,INDIA,0,1589,0,1589
JP,JAPAN,4556,1498154,40861,4811656
KR,"KOREA,REPUBLIC OF",0,0,25,12961
MY,MALAYSIA,0,0,934000,44332786
MX,MEXICO,24750,1119634,24750,1119634
SA,SAUDI ARABIA,74250,3169881,643500,27958711
ZA,SOUTH AFRICA,0,0,24750,1136479
ES,SPAIN,148500,6793856,654500,31066059
CH,SWITZERLAND,0,0,14,1344
TW,"TAIWAN, PROVINCE OF CHINA",11,1774,11,1774
US,UNITED STATES,19,57134,19,68230
SUM,SUM,252389,13029725,2322733,110899325
