"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2021', 'Quantity')","('Mar 2021', 'CIF (Baht)')","('Jan - Mar 2021', 'Quantity')","('Jan - Mar 2021', 'CIF (Baht)')"
AR,ARGENTINA,700,70202,700,70202
AU,AUSTRALIA,528690,19515216,528690,19515216
AT,AUSTRIA,200,59092,12353,1263176
BE,BELGIUM,3250,155030,3250,155030
CN,CHINA,963602,52739453,3516262,185676085
DE,GERMANY,9000,830355,37192,3794283
IN,INDIA,315170,8906603,615120,17762072
ID,INDONESIA,12500,1588661,80205,6501377
IT,ITALY,2600,146242,5200,407667
JP,JAPAN,1074907,64695922,2379136,153603621
KR,"KOREA,REPUBLIC OF",1138924,48636835,3654291,151965012
MY,MALAYSIA,54200,4905830,155673,17869207
MX,MEXICO,250,13393,250,13393
NL,NETHERLANDS,35,19826,99035,7735388
OM,OMAN,421000,14501875,1064500,35042380
SA,SAUDI ARABIA,717750,27301503,2923250,106812014
SG,SINGAPORE,649972,32081326,2036292,95617829
ZA,SOUTH AFRICA,0,0,544500,17554047
ES,SPAIN,25,10532,25,10532
TW,"TAIWAN, PROVINCE OF CHINA",392868,18731958,972283,45727792
AE,UNITED ARAB EMIRATES,803000,30464036,2620600,96879330
GB,UNITED KINGDOM,2005,1005535,2005,1005535
US,UNITED STATES,2674,313069,186655,5140315
VN,VIETNAM,28603,1339702,33428,1757170
SUM,SUM,7121925,328032196,21470895,971878673
