"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2014', 'Quantity')","('Jun 2014', 'CIF (Baht)')","('Jan - Jun 2014', 'Quantity')","('Jan - Jun 2014', 'CIF (Baht)')"
BR,BRAZIL,95,103515,95,103515
CN,CHINA,18000,1138444,96024,5983873
FR,FRANCE,0,0,100,71639
DE,GERMANY,1,3569,1,3569
HK,HONG KONG,0,0,2,1306
IN,INDIA,0,0,225,21739
IL,ISRAEL,0,0,44800,3820004
JP,JAPAN,36055,3353311,74770,6438284
KR,"KOREA,REPUBLIC OF",36000,1985294,73700,4114617
MY,MALAYSIA,0,0,20066,501586
NL,NETHERLANDS,0,0,50,51216
QA,QATAR,0,0,51000,2860058
SG,SINGAPORE,0,0,2843,267202
TW,"TAIWAN, PROVINCE OF CHINA",0,0,20000,2180327
US,UNITED STATES,9072,2782701,36314,11176660
SUM,SUM,99223,9366834,419990,37595595
