"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jul 2016', 'Quantity')","('Jul 2016', 'CIF (Baht)')","('Jan - Jul 2016', 'Quantity')","('Jan - Jul 2016', 'CIF (Baht)')"
AU,AUSTRALIA,500,195232,5341,772831
AT,AUSTRIA,0,0,220,156625
BE,BELGIUM,310250,16120951,1383899,69494341
BZ,BELIZE,0,0,60,39660
BR,BRAZIL,0,0,3500,893625
CN,CHINA,1440138,71699513,8178168,424474562
CZ,CZECH REPUBLIC,0,0,30,47985
FI,FINLAND,46750,2899810,147366,9241348
FR,FRANCE,28545,1302163,171165,8553798
DE,GERMANY,21750,5191314,74035,20225050
HK,HONG KONG,0,0,213,136795
IN,INDIA,311920,11565758,3200349,111903629
ID,INDONESIA,35600,3614361,203996,23073226
IL,ISRAEL,0,0,90000,6665983
IT,ITALY,0,0,84162,8061137
JP,JAPAN,1229534,88246247,9951816,656118929
KR,"KOREA,REPUBLIC OF",2610976,121519036,12910996,607717425
KW,KUWAIT,0,0,50,17832
MY,MALAYSIA,116253,15217696,802167,97400566
NL,NETHERLANDS,99000,8935720,356128,32218725
NZ,NEW ZEALAND,0,0,240,317592
PH,PHILIPPINES,0,0,104,23921
QA,QATAR,0,0,16500,695900
SA,SAUDI ARABIA,6933900,253021798,33994666,1176229962
SG,SINGAPORE,1595750,85800868,11622155,594000786
ZA,SOUTH AFRICA,297000,11340102,594000,21590083
ES,SPAIN,0,0,100,7159
SE,SWEDEN,0,0,25000,956625
TW,"TAIWAN, PROVINCE OF CHINA",56175,2543511,355654,17255662
TH,THAILAND,6000,331093,27575,1287866
TR,TÜRKIYE,0,0,1395,186822
UA,UKRAINE,0,0,8250,341359
AE,UNITED ARAB EMIRATES,431800,15872882,1817735,68609412
GB,UNITED KINGDOM,1003,108690,2803,207692
US,UNITED STATES,115923,8149639,486232,40982516
VN,VIETNAM,200,147893,114853,5198201
SUM,SUM,15688967,723824277,86630923,4005105630
