"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Aug 2015', 'Quantity')","('Aug 2015', 'CIF (Baht)')","('Jan - Aug 2015', 'Quantity')","('Jan - Aug 2015', 'CIF (Baht)')"
BR,BRAZIL,0,0,26,13519
CN,CHINA,0,0,33,10767
DE,GERMANY,0,0,87,56556
JP,JAPAN,2005,301131,10694,1625185
KR,"KOREA,REPUBLIC OF",0,0,52500,2515865
MY,MALAYSIA,16500,805052,66000,3255896
SA,SAUDI ARABIA,49500,2361889,716750,30910867
ES,SPAIN,0,0,198000,7893282
AE,UNITED ARAB EMIRATES,123750,5812822,148500,6995429
SUM,SUM,191755,9280894,1192590,53277366
