"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2014', 'Quantity')","('Sept 2014', 'CIF (Baht)')","('Jan - Sept 2014', 'Quantity')","('Jan - Sept 2014', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,8740,852448
AT,AUSTRIA,200,125173,59170,4957684
BE,BELGIUM,30000,3217466,200001,16480052
CA,CANADA,61100,4339449,793208,44382281
CN,CHINA,257385,14173581,3422464,161158256
DK,DENMARK,0,0,1,11308
FI,FINLAND,0,0,49500,3315974
FR,FRANCE,2100,661121,16800,2394313
DE,GERMANY,119210,9368095,848775,70031954
GR,GREECE,0,0,1375,140165
HK,HONG KONG,8,1925,79119,1226411
IN,INDIA,0,0,41061,3498630
ID,INDONESIA,0,0,33,8469
IT,ITALY,1000,145101,4002,1075444
JP,JAPAN,395752,40785576,3440630,383738390
KR,"KOREA,REPUBLIC OF",197345,13830220,1627686,115569737
LU,LUXEMBOURG,0,0,75,15934
MY,MALAYSIA,26602,1929449,368937,29469007
NL,NETHERLANDS,0,0,59425,5180816
PH,PHILIPPINES,0,0,2250,147463
QA,QATAR,0,0,1887000,95922837
SA,SAUDI ARABIA,541350,28409737,4679930,240091536
SG,SINGAPORE,1552372,90699727,15803414,927236795
ES,SPAIN,148500,7615387,195250,9624307
LK,SRI LANKA,0,0,1,146
SE,SWEDEN,20000,990385,80000,3892504
CH,SWITZERLAND,0,0,0,3776
TW,"TAIWAN, PROVINCE OF CHINA",22575,1445670,926414,58209345
TH,THAILAND,500,8188,12750,1696822
AE,UNITED ARAB EMIRATES,519700,27626869,2598654,139988328
GB,UNITED KINGDOM,0,0,5220,1046286
US,UNITED STATES,957417,80536169,9591747,775223819
VN,VIETNAM,0,0,96225,8176886
SUM,SUM,4853116,325909288,46899857,3104768123
