"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2020', 'Quantity')","('Jan 2020', 'CIF (Baht)')","('Jan - Jan 2020', 'Quantity')","('Jan - Jan 2020', 'CIF (Baht)')"
CA,CANADA,100,5308,100,5308
CN,CHINA,6295,556324,6295,556324
DE,GERMANY,1000,187887,1000,187887
JP,JAPAN,23400,1768168,23400,1768168
KR,"KOREA,REPUBLIC OF",150,24839,150,24839
NL,NETHERLANDS,22000,920098,22000,920098
SA,SAUDI ARABIA,148500,4321565,148500,4321565
SG,SINGAPORE,1027150,48120349,1027150,48120349
ES,SPAIN,26400,1593417,26400,1593417
AE,UNITED ARAB EMIRATES,321750,8546263,321750,8546263
US,UNITED STATES,1961519,64020549,1961519,64020549
SUM,SUM,3538264,130064767,3538264,130064767
