"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2012', 'Quantity')","('Jun 2012', 'CIF (Baht)')","('Jan - Jun 2012', 'Quantity')","('Jan - Jun 2012', 'CIF (Baht)')"
AU,AUSTRALIA,98000,4978824,140400,7054120
AT,AUSTRIA,200,306797,940,1291859
BE,BELGIUM,70100,7695029,116980,12749248
CN,CHINA,167774,13350302,1294355,111145439
CZ,CZECH REPUBLIC,0,0,0,458
FR,FRANCE,2500,376912,5661,918446
DE,GERMANY,40965,8580788,143605,22751188
HK,HONG KONG,0,0,216,247571
IN,INDIA,20,3810,348,122417
ID,INDONESIA,0,0,159575,11730016
IE,IRELAND,100,32943,100,32943
IT,ITALY,1200,78774,6750,531986
JP,JAPAN,328883,58598548,1697014,316853622
KR,"KOREA,REPUBLIC OF",164075,8975292,1435690,88240124
KW,KUWAIT,0,0,99000,4263230
LU,LUXEMBOURG,0,0,5000,1051184
MY,MALAYSIA,104000,11993752,527890,66362586
NL,NETHERLANDS,119905,11967604,722955,72107765
NO,NORWAY,0,0,28,16424
PH,PHILIPPINES,0,0,50,11550
QA,QATAR,51000,2285582,51000,2285582
SA,SAUDI ARABIA,222750,10160396,1559250,68147367
SG,SINGAPORE,128960,15875473,757220,80649947
ZA,SOUTH AFRICA,198000,9342105,198000,9342105
ES,SPAIN,0,0,371250,16337197
CH,SWITZERLAND,0,0,1800,1049883
TW,"TAIWAN, PROVINCE OF CHINA",78500,3958476,224812,18316844
TH,THAILAND,0,0,3850,784739
AE,UNITED ARAB EMIRATES,0,0,371250,16412815
GB,UNITED KINGDOM,275,121737,181775,19013342
US,UNITED STATES,76445,9487539,518454,76448036
VN,VIETNAM,92496,11963947,354656,34390935
SUM,SUM,1946148,190134630,10949874,1060660968
