"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2017', 'Quantity')","('Feb 2017', 'CIF (Baht)')","('Jan - Feb 2017', 'Quantity')","('Jan - Feb 2017', 'CIF (Baht)')"
BE,BELGIUM,0,0,24000,2442246
CN,CHINA,5000,447058,5000,447058
HK,HONG KONG,0,0,5715,1113678
KR,"KOREA,REPUBLIC OF",35600,1970460,306720,19619206
SG,SINGAPORE,94662,6020213,301042,18085039
SE,SWEDEN,0,0,10000,784853
AE,UNITED ARAB EMIRATES,75400,3478749,124800,5778313
GB,UNITED KINGDOM,0,0,17000,1737103
US,UNITED STATES,103190,5645792,269245,17288412
VN,VIETNAM,31050,1826017,61050,3558106
SUM,SUM,344902,19388289,1124572,70854014
