"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2020', 'Quantity')","('Jun 2020', 'CIF (Baht)')","('Jan - Jun 2020', 'Quantity')","('Jan - Jun 2020', 'CIF (Baht)')"
CA,CANADA,0,0,12540,529097
CN,CHINA,27325,961154,69021,2859467
DE,GERMANY,1000,200983,4000,784127
ID,INDONESIA,0,0,25,7020
JP,JAPAN,5075,409289,79002,7299017
KR,"KOREA,REPUBLIC OF",0,0,15202,800854
MY,MALAYSIA,0,0,192000,6530777
NL,NETHERLANDS,22000,947025,200750,8194926
QA,QATAR,0,0,25500,682755
SA,SAUDI ARABIA,148500,4038381,938250,27203064
SG,SINGAPORE,859340,35202487,5686535,260040375
ES,SPAIN,17800,1177710,245900,16182122
AE,UNITED ARAB EMIRATES,937750,24372801,4431625,116003050
US,UNITED STATES,1128527,35676511,10192231,340613768
SUM,SUM,3147317,102986341,22092581,787730419
