"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2020', 'Quantity')","('Jan 2020', 'CIF (Baht)')","('Jan - Jan 2020', 'Quantity')","('Jan - Jan 2020', 'CIF (Baht)')"
CN,CHINA,658427,34379038,658427,34379038
DE,GERMANY,20030,1492217,20030,1492217
IN,INDIA,49575,810411,49575,810411
ID,INDONESIA,33750,2883071,33750,2883071
IT,ITALY,2000,124035,2000,124035
JP,JAPAN,613454,47927072,613454,47927072
KR,"KOREA,REPUBLIC OF",1515536,60076492,1515536,60076492
MY,MALAYSIA,676375,23064598,676375,23064598
NZ,NEW ZEALAND,240,342628,240,342628
OM,OMAN,99000,2932516,99000,2932516
SA,SAUDI ARABIA,1658250,50600877,1658250,50600877
SG,SINGAPORE,543237,29604390,543237,29604390
TW,"TAIWAN, PROVINCE OF CHINA",389040,15741210,389040,15741210
TH,THAILAND,78000,2044308,78000,2044308
AE,UNITED ARAB EMIRATES,1015750,30177242,1015750,30177242
US,UNITED STATES,9448,1590148,9448,1590148
VN,VIETNAM,9594,1465337,9594,1465337
SUM,SUM,7371706,305255590,7371706,305255590
