"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2017', 'Quantity')","('Jan 2017', 'CIF (Baht)')","('Jan - Jan 2017', 'Quantity')","('Jan - Jan 2017', 'CIF (Baht)')"
AT,AUSTRIA,67500,3897201,67500,3897201
CN,CHINA,15000,2813201,15000,2813201
FR,FRANCE,11025,512207,11025,512207
DE,GERMANY,1050,125254,1050,125254
IN,INDIA,3506,299423,3506,299423
ID,INDONESIA,23118,2587611,23118,2587611
IT,ITALY,300,29715,300,29715
JP,JAPAN,1033577,66566859,1033577,66566859
KR,"KOREA,REPUBLIC OF",236410,11419288,236410,11419288
MY,MALAYSIA,8050,366442,8050,366442
NL,NETHERLANDS,85250,6076610,85250,6076610
SG,SINGAPORE,5077588,233008053,5077588,233008053
ES,SPAIN,24750,2309224,24750,2309224
TW,"TAIWAN, PROVINCE OF CHINA",211000,10271127,211000,10271127
TH,THAILAND,6200,278698,6200,278698
AE,UNITED ARAB EMIRATES,346500,14097005,346500,14097005
GB,UNITED KINGDOM,1000,403071,1000,403071
US,UNITED STATES,54143,5207373,54143,5207373
SUM,SUM,7205967,360268362,7205967,360268362
