"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2021', 'Quantity')","('Jan 2021', 'CIF (Baht)')","('Jan - Jan 2021', 'Quantity')","('Jan - Jan 2021', 'CIF (Baht)')"
CA,CANADA,200,25277,200,25277
CN,CHINA,7350,419994,7350,419994
JP,JAPAN,4016,372753,4016,372753
KR,"KOREA,REPUBLIC OF",23600,1455756,23600,1455756
NL,NETHERLANDS,22000,985446,22000,985446
SA,SAUDI ARABIA,99000,3003199,99000,3003199
SG,SINGAPORE,1988700,84412320,1988700,84412320
ES,SPAIN,8800,500166,8800,500166
AE,UNITED ARAB EMIRATES,445500,14143453,445500,14143453
US,UNITED STATES,689500,24445519,689500,24445519
SUM,SUM,3288666,129763883,3288666,129763883
