"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2020', 'Quantity')","('Sept 2020', 'CIF (Baht)')","('Jan - Sept 2020', 'Quantity')","('Jan - Sept 2020', 'CIF (Baht)')"
CA,CANADA,0,0,10000,1456900
CN,CHINA,701,319468,35243,7713002
FR,FRANCE,0,0,2,1175
DE,GERMANY,488,203572,516,205671
IN,INDIA,1345,92060,1345,92060
IL,ISRAEL,10,6818,10,6818
JP,JAPAN,5000,791721,21927,3746127
MY,MALAYSIA,0,0,0,57
NL,NETHERLANDS,0,0,25,13671
SG,SINGAPORE,0,0,10,1745
TW,"TAIWAN, PROVINCE OF CHINA",0,0,121,11577
GB,UNITED KINGDOM,0,0,648,331702
US,UNITED STATES,0,0,45315,1853088
VN,VIETNAM,0,0,6,869
SUM,SUM,7544,1413639,115168,15434462
