"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jul 2019', 'Quantity')","('Jul 2019', 'CIF (Baht)')","('Jan - Jul 2019', 'Quantity')","('Jan - Jul 2019', 'CIF (Baht)')"
AU,AUSTRALIA,19,1500,32294,1670481
BD,BANGLADESH,100,23166,350,65462
BE,BELGIUM,33125,1635067,397575,20257278
CA,CANADA,22132,2014735,39132,3394645
CN,CHINA,226000,9494039,1863463,75547222
DE,GERMANY,0,0,42,31079
HK,HONG KONG,0,0,51,12993
IN,INDIA,3200,8106727,8875,17037216
IT,ITALY,61375,3266262,219980,17390869
JP,JAPAN,133506,9556953,1312055,81650113
KR,"KOREA,REPUBLIC OF",2627800,132345316,9705422,480303282
MY,MALAYSIA,17490,1723350,235639,17369184
PT,PORTUGAL,8160,857418,14608,1612229
SA,SAUDI ARABIA,321750,13244350,2054250,82296902
SG,SINGAPORE,240000,12386895,1026975,53461946
ES,SPAIN,0,0,5,12335
TW,"TAIWAN, PROVINCE OF CHINA",257040,13439431,4631839,228077266
GB,UNITED KINGDOM,0,0,5430,443321
US,UNITED STATES,96137,6663174,554323,43114166
VN,VIETNAM,0,0,23640,621552
SUM,SUM,4047834,214758383,22125948,1124369541
