"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2023', 'Quantity')","('Feb 2023', 'CIF (Baht)')","('Jan - Feb 2023', 'Quantity')","('Jan - Feb 2023', 'CIF (Baht)')"
AT,AUSTRIA,0,0,11000,948554
BE,BELGIUM,0,0,36840,2153510
BR,BRAZIL,0,0,37,83155
CN,CHINA,543600,33873498,1301875,78621291
DE,GERMANY,0,0,1250,176029
IN,INDIA,326000,11530974,918400,32156825
ID,INDONESIA,22500,2379881,22525,2388814
IT,ITALY,0,0,84,36641
JP,JAPAN,487198,29120417,652777,40607198
KR,"KOREA,REPUBLIC OF",2364725,91197565,5311028,206556022
MY,MALAYSIA,355355,12949222,389820,14466071
OM,OMAN,321856,10433678,827856,26676622
SA,SAUDI ARABIA,3045930,104184103,9542930,329573692
SG,SINGAPORE,655320,37609532,1224446,71308639
ZA,SOUTH AFRICA,0,0,24750,916018
TW,"TAIWAN, PROVINCE OF CHINA",211832,7988311,542459,19997170
TH,THAILAND,1,163,11,1310
AE,UNITED ARAB EMIRATES,778450,27180496,1892400,63992988
GB,UNITED KINGDOM,5,29471,1355,153836
US,UNITED STATES,19842,1768562,23517,2650207
VN,VIETNAM,1963001,68449331,3826701,134359957
SUM,SUM,11095615,438695204,26552061,1027824549
