"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2020', 'Quantity')","('May 2020', 'CIF (Baht)')","('Jan - May 2020', 'Quantity')","('Jan - May 2020', 'CIF (Baht)')"
CN,CHINA,0,0,25314,1349007
FR,FRANCE,2000,384847,5500,1028861
HK,HONG KONG,0,0,44,8175
IN,INDIA,0,0,28,5780
IL,ISRAEL,0,0,24000,1546577
JP,JAPAN,19680,4036383,173421,23119597
KR,"KOREA,REPUBLIC OF",17000,565143,180049,11220963
QA,QATAR,34000,1060068,68000,2016680
GB,UNITED KINGDOM,0,0,701,178000
US,UNITED STATES,0,0,686,49397
SUM,SUM,72680,6046441,477743,40523037
