"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2017', 'Quantity')","('May 2017', 'CIF (Baht)')","('Jan - May 2017', 'Quantity')","('Jan - May 2017', 'CIF (Baht)')"
BE,BELGIUM,0,0,247500,12643776
CA,CANADA,24750,1231012,24750,1231012
CN,CHINA,103275,8088076,500775,37889626
ID,INDONESIA,38760,3149967,142420,11689776
IR,IRAN (ISLAMIC REPUBLIC OF),0,0,120,30350
JP,JAPAN,39196,5289531,2310169,135894133
KR,"KOREA,REPUBLIC OF",22000,1125520,44400,2239724
KW,KUWAIT,148500,6066923,742500,30859465
MY,MALAYSIA,319200,15099575,3127001,150122554
NL,NETHERLANDS,119000,5944746,347525,17598237
QA,QATAR,153000,6233161,1785000,74020357
SA,SAUDI ARABIA,3336599,140697102,14540393,622424808
SG,SINGAPORE,792700,36278090,2601929,121860211
ZA,SOUTH AFRICA,0,0,49500,2166292
ES,SPAIN,0,0,25750,1296544
TW,"TAIWAN, PROVINCE OF CHINA",25,5058,75,6832
TH,THAILAND,0,0,25723,1529013
AE,UNITED ARAB EMIRATES,618750,26156123,4331325,185728936
GB,UNITED KINGDOM,0,32,0,32
US,UNITED STATES,191850,12912757,689350,48228094
SUM,SUM,5907605,268277673,31536205,1457459772
