"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2019', 'Quantity')","('Mar 2019', 'CIF (Baht)')","('Jan - Mar 2019', 'Quantity')","('Jan - Mar 2019', 'CIF (Baht)')"
AU,AUSTRALIA,7,6647,7,6647
AT,AUSTRIA,0,0,100,169372
BE,BELGIUM,500,93862,700,297698
BZ,BELIZE,0,0,382,139002
BR,BRAZIL,0,0,1146,413839
CA,CANADA,19,188609,34,293305
CN,CHINA,77004,5546671,281348,16424172
DK,DENMARK,0,0,2,13283
SZ,ESWATINI,0,0,500,98181
FR,FRANCE,40455,2175632,91054,5499352
DE,GERMANY,14880,3721724,25485,6304528
HK,HONG KONG,0,0,16100,4181097
IN,INDIA,30,4071,5116,610468
ID,INDONESIA,0,0,23100,2038671
IT,ITALY,0,0,4560,694005
JP,JAPAN,173838,28283269,451076,76701287
KR,"KOREA,REPUBLIC OF",488588,24600362,1155202,63550281
MY,MALAYSIA,147800,11783299,368200,30489754
NL,NETHERLANDS,181000,15231268,381173,32317584
NO,NORWAY,0,0,1,697
SA,SAUDI ARABIA,123750,4214643,742500,28005102
SG,SINGAPORE,56944,7189209,162030,16458373
CH,SWITZERLAND,300,156090,300,156090
TW,"TAIWAN, PROVINCE OF CHINA",50000,1991404,178000,11498156
AE,UNITED ARAB EMIRATES,668250,25540736,1534500,60351395
GB,UNITED KINGDOM,11700,1250128,27300,2976853
US,UNITED STATES,105749,14994994,400975,44744523
VN,VIETNAM,6000,478502,19001,1551887
SUM,SUM,2146814,147451120,5869892,405985602
