"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2015', 'Quantity')","('Feb 2015', 'CIF (Baht)')","('Jan - Feb 2015', 'Quantity')","('Jan - Feb 2015', 'CIF (Baht)')"
AT,AUSTRIA,5500,346202,5500,346202
BE,BELGIUM,159200,8416731,298470,16211323
BR,BRAZIL,24750,2191633,69500,6184320
CA,CANADA,0,0,11000,664926
CN,CHINA,2000,223588,51200,3518421
FI,FINLAND,0,0,22000,1395254
DE,GERMANY,12990,4458067,17830,7896881
IT,ITALY,5144,751680,5144,751680
JP,JAPAN,962780,57814710,3012054,175674755
KR,"KOREA,REPUBLIC OF",25975,1451574,29000,1618625
KW,KUWAIT,1311750,55270422,1757250,77425540
MY,MALAYSIA,105000,4234092,399500,17560359
QA,QATAR,229500,9898234,1224000,56513108
SA,SAUDI ARABIA,2569250,97351949,5168000,218647225
SG,SINGAPORE,2013629,78686340,3651659,151522678
TW,"TAIWAN, PROVINCE OF CHINA",26075,1980559,26575,2062807
AE,UNITED ARAB EMIRATES,866250,31702129,1683000,65776864
US,UNITED STATES,156362,8219504,500492,28261475
SUM,SUM,8476155,362997414,17932174,832032443
