"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Dec 2015', 'Quantity')","('Dec 2015', 'CIF (Baht)')","('Jan - Dec 2015', 'Quantity')","('Jan - Dec 2015', 'CIF (Baht)')"
CN,CHINA,10,3437,14458,2383186
DE,GERMANY,0,0,470,184592
IN,INDIA,0,0,30,29303
JP,JAPAN,800,238319,8708,2640929
KR,"KOREA,REPUBLIC OF",0,0,11,5855
MY,MALAYSIA,0,0,3000,295509
SG,SINGAPORE,6000,583972,20680,1977369
TW,"TAIWAN, PROVINCE OF CHINA",0,0,21,15193
US,UNITED STATES,0,0,60,21551
SUM,SUM,6810,825728,47438,7553487
